datetime,open,close,high,low,volume,float
2007-01-02,751.0399780273438,741.27001953125,751.0399780273438,741.27001953125,3693510,358774898688
2007-01-03,745.1300048828125,757.7100219726562,757.7100219726562,745.1300048828125,4130670,366940225536
2007-01-04,784.4500122070312,788.8200073242188,788.8200073242188,784.4500122070312,5532130,604703621120
2007-01-05,818.0399780273438,818.510009765625,818.510009765625,818.0399780273438,7384850,891229437952
2007-01-08,840.219970703125,825.1099853515625,840.219970703125,825.1099853515625,8073810,1002149117952
2007-01-09,845.260009765625,844.9099731445312,845.260009765625,840.8900146484375,7047800,789598699520
2007-01-10,864.75,865.7100219726562,866.719970703125,864.75,6069400,679439433728
2007-01-11,886.8300170898438,885.4299926757812,886.8300170898438,885.4299926757812,6893080,723029262336
2007-01-12,914.4099731445312,914.7899780273438,914.7899780273438,913.6799926757812,7248120,838732218368
2007-01-15,941.72998046875,947.1500244140625,947.1500244140625,941.72998046875,6166570,715668062208
2007-01-16,985.530029296875,983.5999755859375,985.530029296875,983.5,6933830,829206429696
2007-01-17,1012.7000122070312,964.9600219726562,1012.7000122070312,964.9600219726562,9078140,989771268096
2007-01-18,946.8400268554688,983.0900268554688,983.0900268554688,946.8400268554688,9331520,1241122865152
2007-01-19,1024.0,1023.0499877929688,1024.0,1022.969970703125,6520700,768715653120
2007-01-22,1044.260009765625,1027.699951171875,1044.260009765625,1027.699951171875,8562450,1246785306624
2007-01-23,1040.06005859375,1040.699951171875,1040.699951171875,1039.6099853515625,5932240,823987273728
2007-01-24,1049.8199462890625,1016.3900146484375,1049.8199462890625,1016.3900146484375,6023860,672776847360
2007-01-25,991.6500244140625,988.8599853515625,991.6500244140625,988.8599853515625,8412580,822708469760
2007-01-26,966.5999755859375,974.760009765625,974.760009765625,966.5999755859375,10042750,1139878395904
2007-01-29,976.510009765625,995.5499877929688,995.5499877929688,976.510009765625,7288420,903052853248
2007-01-30,1021.2899780273438,1022.4000244140625,1023.969970703125,1021.2899780273438,7195200,894865899520
2007-01-31,1044.0699462890625,1041.3299560546875,1044.0699462890625,1041.3299560546875,7517290,1032028160000
2007-02-01,1066.3299560546875,1049.3199462890625,1066.3299560546875,1049.3199462890625,11184580,1340074098688
2007-02-02,1074.550048828125,1074.550048828125,1074.550048828125,1074.550048828125,7072960,834131001344
2007-02-05,1091.02001953125,1058.7099609375,1091.02001953125,1058.7099609375,9289180,1117134389248
2007-02-06,1058.5699462890625,1091.3800048828125,1091.3800048828125,1058.5699462890625,7724800,906436018176
2007-02-07,1084.3299560546875,1095.75,1095.75,1083.989990234375,7596040,845490618368
2007-02-08,1058.739990234375,1052.8599853515625,1058.739990234375,1052.8599853515625,6811910,737005010944
2007-02-09,1010.969970703125,1030.9000244140625,1030.9000244140625,1010.3800048828125,7846490,879083520000
2007-02-12,1041.4300537109375,1054.260009765625,1054.260009765625,1041.4300537109375,7530200,819412336640
2007-02-13,1081.7900390625,1074.4599609375,1081.7900390625,1074.06005859375,6644140,900342218752
2007-02-14,1077.97998046875,1073.18994140625,1077.97998046875,1073.18994140625,6261450,724967424000
2007-02-15,1071.5,1083.25,1083.25,1071.5,6289500,763518320640
2007-02-26,1121.1800537109375,1129.02001953125,1129.02001953125,1121.1800537109375,7470640,995653320704
2007-02-27,1174.0999755859375,1167.3599853515625,1174.0999755859375,1167.3599853515625,8364940,1185398652928
2007-02-28,1159.6700439453125,1137.68994140625,1159.6700439453125,1135.8499755859375,11260450,1271022616576
2007-03-01,1147.510009765625,1123.0699462890625,1147.510009765625,1123.0699462890625,8693690,1056544653312
2007-03-02,1130.6199951171875,1147.6600341796875,1147.6600341796875,1130.6199951171875,10012890,1207920885760
2007-03-05,1165.050048828125,1158.9000244140625,1165.050048828125,1158.9000244140625,8161480,983440031744
2007-03-06,1139.760009765625,1133.31005859375,1139.760009765625,1132.949951171875,8381450,1068526600192
2007-03-07,1139.300048828125,1132.22998046875,1139.300048828125,1132.22998046875,6944050,893403332608
2007-03-08,1140.47998046875,1141.5899658203125,1141.5899658203125,1138.6700439453125,8157060,954220806144
2007-03-09,1168.6700439453125,1155.6800537109375,1168.6700439453125,1155.6800537109375,9229710,1088736722944
2007-03-12,1179.3199462890625,1170.6700439453125,1179.3199462890625,1170.6700439453125,9053740,1030747717632
